ID	title	type	url_slug	venue	date	location	talk_url	description
1	Neutrino trident production at near detectors	invited seminar		Fermilab Theory Seminar	05 /21	USA	https://theory.fnal.gov/events/event/title-tba-neutrino-3/	
2	Leptophilic Z’s in neutrino scattering	invited parallel talk		Phenomenology Symposium 2018	05 /21	USA	https://indico.cern.ch/event/699148/contributions/2986307/	
3	Current status of short-baseline oscillations	invited seminar		Perimeter Institute	06 /21	Canada		
4	Near detector physics with neutrino experiments	invited plenary talk		"Near detector workshop 2018, CERN"	06 /21	Switzerland	https://indico.cern.ch/event/721473/overview	
5	Neutrino tridents at DUNE	invited parallel talk		"NuFact 2018, Virginia"	08 /21	USA	https://indico.phys.vt.edu/event/34/contributions/677/	
6	Neutrino trident production at near detectors	invited parallel talk		Neutrino Oscillation Workshop 2018	09 /21	Italy	http://www.ba.infn.it/~now/now2018/program.html	
7	Rare neutrino scattering probing new physics	invited seminar		"Max-Planck-Institut fur Kernphysik, Heidelberg"	11 /21	Germany	https://www.mpi-hd.mpg.de/lin/seminar_theory.en.php	
8	New physics in neutrino scattering	plenary talk		"Physics Opportunities at the Near Detector of DUNE (PONDD), Fermilab"	12 /21	USA	https://indico.fnal.gov/event/18430/	
9	A light dark neutrino sector	invited seminar		Queen Mary University of London	03 /21	UK	https://www.qmul.ac.uk/spa/pprc/seminars/2019/items/a-light-dark-neutrino-sector.html	
10	New physics in rare neutrino processes	plenary talk		"Prospects of Neutrino Physics, IPMU"	04 /21	Japan	https://indico.ipmu.jp/event/236/contributions/3340/	
11	A light dark neutrino sector	invited seminar		"IFIC, Valencia"	05 /21	Spain	https://indico.ific.uv.es/event/3750/	
12	New physics in rare neutrino processes	invited talk		"Neutrino Theory Network Workshop, Washington U., St Louis"	05 /21	USA	https://indico.cern.ch/event/812851/page/16923-overview	
13	A light dark neutrino sector	PhD forum talk		"Invisibles Workshop 2019, Valencia"	06 /21	Spain	https://congresos.adeituv.es/invisibles19/ficha.en.html	
14	A light dark neutrino sector	invited seminar		MicroBooNE collaboration call	08 /21	USA		
15	A light dark neutrino sector	invited seminar		Columbia University	08 /21	USA		
16	A Light Dark Neutrino Sector	invited plenary talk		CERN Neutrino Platform Week 2019	10 /21	Switzerland	10.5281/zenodo.3509916	
17		invited plenary talk		NuPhys 2019	12 /21	UK		
18		invited seminar		Fermilab Theory Seminar	02 /21	USA		
19		 invited talk		"Brookhaven Neutrino Theory Virtual Seminars, BNL"	05 /21	USA	https://peterdenton.github.io/NDI/index.html	Virtual
20		parallel talk		"Phenomenology Symposium 2020, Pittsburgh"	05 /21	USA		Virtual
21		invited seminar		"JGU Theorie Palaver, Mainz"	06 /21	Germany		Virtual
22		parallel talk		"Neutrino 2020, University of Chicago"	06 /21	USA		Virtual
23		parallel talk		ICHEP 2020	07 /21	Czech Republic		Virtual
24		 invited talk		Snowmass Neutrino Frontier 03 kick-off meeting	09 /21	USA		Virtual
25	Opportunities and signatures of non-minimal HNLs	 invited talk		Snowmass Theory of neutrino physics mini-workshop	09 /21	USA		Virtual
26	Opportunities and signatures of non-minimal HNLs	invited talk		Snowmass Baryon and Lepton Number Violating Processes workshop	10 /21	USA		Virtual
27		plenary talk		"PIKIMO 9, Kentucky"	10 /21	USA		Virtual
28		invited plenary talk		"Central American meeting of High Energy Physics, Cosmology and High Energy Astrophysics"	11 /21	Central America 		Virtual
29		plenary talk		"3rd South American Dark Matter Workshop, ICTP"	10 /21	Brazil		Virtual
30	Snowmass Dark Sector Studies at High Intensities Frontier	invited talk		Snowmass Dark Sector Studies at High Intensities Frontier	12 /21	USA		Virtual
31		parallel talk		XIX International Workshop on Neutrino Telescopes	02 /21	Italy		Virtual
32		invited seminar		"Neutrino Seminar, Fermilab"	03 /21	USA		Virtual
33		invited seminar		University of California Santa Cruz	03 /21	USA		Virtual
34		invited seminar		Carleton University	04 /21	Canada		Virtual
35		parallel talk		American Physics Society April Meeting	04 /21	USA		Virtual
36		invited seminar		"C3P, UCLouvain"	04 /21	Belgium		Virtual
37		invited seminar		"ETH, Zurich"	04 /21	Switzerland		Virtual
38		invited seminar		McGill University	05 /21	Canada		Virtual
39	A last chance for kinetic mixing: Explaining the muon (g-2) with semi-visible dark photons	parallel talk		American Physics Society Division of Particles and Fields meeting	07 /21	USA	https://indico.cern.ch/event/1034469/contributions/4427308/	Virtual
40	New physics opportunities at vSTORM	Invited talk		vSTORM collaboration meeting	08 /21	CERN	https://indico.cern.ch/event/1063925/contributions/4471489/attachments/2292614/3898221/mhostert_nustorm.pdf	Virtual
41								
42								
43								
44								
45								
46								
47								
48								
49								
50								
51								
52								
53								
54								
55								
56								
57								
58								
59								
60								
61								
62								
63								
64								
65								
66								
67								
68								
69								
70								
71								
72								
73								
74								
75								
76								
77								
78								
79								
80								
81								
82								
83								
84								
85								
86								
87								
88								
89								
90								
91								
92								
93								
94								
95								
96								
97								
98								
99								
100								
101								
102								
103								
104								
105								
106								
107								
108								
109								
110								
111								
112								
113								
114								
115								
116								
117								
118								
119								
120								
121								
122								
123								
124								
125								
126								
127								
128								
129								
130								
131								
132								
133								
134								
135								
136								
137								
138								
139								
140								
141								
142								
143								
144								
145								
146								
147								
148								
149								
150								
151								
152								
153								
154								
155								
156								
157								
158								
159								
160								
161								
162								
163								
164								
165								
166								
167								
168								
169								
170								
171								
172								
173								
174								
175								
176								
177								
178								
179								
180								
181								
182								
183								
184								
185								
186								
187								
188								
189								
190								
191								
192								
193								
194								
195								
196								
197								
198								
